"room_type","reviews","overall_sa","bedrooms","price"
"Entire home/apt",0,0,1,150
"Private room",5,5,1,55
"Entire home/apt",21,4.5,1,150
"Private room",2,5,1,70
"Entire home/apt",9,5,1,230
"Entire home/apt",0,0,1,200
"Shared room",0,0,1,67
"Private room",6,3.5,1,89
"Entire home/apt",1,2,1,120
"Private room",23,4.5,1,35
"Private room",0,0,1,35
"Private room",0,0,1,40
"Private room",0,0,1,65
"Private room",2,5,1,69
"Private room",46,4.5,1,80
"Private room",35,4.5,1,85
"Private room",21,4.5,1,95
"Private room",11,5,1,95
"Entire home/apt",2,4.5,2,120
"Entire home/apt",21,5,1,245
"Shared room",32,5,1,32
"Private room",0,0,1,32
"Private room",0,0,1,34
"Private room",1,5,1,35
"Private room",0,0,1,35
"Private room",0,0,1,36
"Private room",2,4,1,40
"Private room",19,4.5,1,40
"Private room",18,4.5,1,40
"Private room",7,4.5,1,40
"Private room",4,4.5,1,40
"Private room",0,0,1,40
"Shared room",6,5,1,42
"Private room",0,0,1,43
"Private room",0,0,1,45
"Private room",0,0,1,49
"Private room",3,4,1,50
"Private room",7,4.5,1,50
"Private room",34,5,1,50
"Private room",28,5,1,50
"Private room",8,5,1,50
"Shared room",7,5,1,50
"Private room",0,0,1,50
"Private room",0,0,1,50
"Private room",0,0,1,50
"Private room",1,0,1,52
"Private room",0,0,1,52
"Private room",6,4,1,55
"Private room",2,0,1,55
"Private room",0,0,1,55
"Private room",0,0,1,57
"Entire home/apt",2,4,4,59
"Private room",3,4.5,1,59
"Private room",2,5,1,59
"Entire home/apt",0,0,4,59
"Private room",9,4,1,60
"Private room",31,4.5,1,60
"Private room",15,4.5,1,60
"Private room",14,4.5,1,60
"Private room",1,5,1,60
"Entire home/apt",0,0,1,60
"Private room",0,0,1,60
"Private room",103,4.5,1,62
"Private room",1,0,1,62
"Private room",4,3,1,65
"Private room",13,4,1,65
"Private room",1,4,1,65
"Private room",3,4.5,1,65
"Private room",3,4.5,1,65
"Entire home/apt",2,5,0,65
"Private room",3,5,1,65
"Private room",1,0,1,65
"Private room",0,0,1,65
"Private room",2,4.5,1,67
"Private room",14,4,1,69
"Private room",1,5,1,69
"Private room",0,0,1,69
"Private room",1,4,1,70
"Entire home/apt",4,4.5,1,70
"Private room",11,4.5,1,70
"Entire home/apt",1,5,0,70
"Private room",57,5,1,70
"Private room",3,5,1,70
"Private room",12,4.5,1,71
"Private room",14,5,1,72
"Private room",6,4,1,73
"Private room",0,0,1,73
"Private room",15,3.5,1,75
"Private room",3,3.5,1,75
"Private room",81,4.5,1,75
"Private room",35,4.5,1,75
"Private room",43,5,1,75
"Private room",1,0,1,75
"Private room",0,0,1,75
"Private room",0,0,1,77
"Private room",0,0,1,77
"Private room",0,0,1,78
"Private room",1,3,1,80
"Entire home/apt",31,4.5,2,80
"Entire home/apt",27,4.5,1,80
"Private room",11,4.5,1,80
"Private room",7,4.5,1,80
"Private room",7,5,1,80
"Private room",0,0,1,80
"Private room",10,4.5,1,83
"Private room",0,0,1,83
"Private room",14,4.5,1,85
"Private room",27,5,1,85
"Private room",20,5,1,85
"Entire home/apt",0,0,2,85
"Entire home/apt",0,0,2,85
"Private room",0,0,1,85
"Private room",0,0,1,85
"Private room",13,4.5,1,89
"Private room",6,4.5,1,89
"Private room",10,5,1,89
"Shared room",24,5,1,89
"Private room",0,0,1,89
"Private room",2,4,1,90
"Entire home/apt",3,5,0,90
"Entire home/apt",0,0,2,90
"Private room",0,0,1,90
"Private room",0,0,1,90
"Private room",2,3,1,95
"Private room",29,4.5,1,95
"Private room",11,4.5,1,95
"Private room",4,4.5,1,95
"Private room",1,5,1,95
"Entire home/apt",0,0,2,95
"Private room",2,4.5,1,97
"Private room",64,4.5,1,99
"Private room",6,5,1,99
"Private room",1,3,1,100
"Entire home/apt",13,4,2,100
"Private room",4,4,1,100
"Entire home/apt",25,4.5,2,100
"Entire home/apt",4,4.5,1,100
"Private room",10,4.5,1,100
"Entire home/apt",9,5,1,100
"Entire home/apt",0,0,2,100
"Private room",22,4.5,1,105
"Private room",31,5,1,105
"Private room",6,5,1,105
"Entire home/apt",18,5,0,109
"Entire home/apt",59,4.5,2,110
"Private room",1,2,1,115
"Private room",33,5,1,115
"Private room",19,5,1,115
"Private room",11,5,1,115
"Entire home/apt",0,0,2,115
"Private room",1,2,1,120
"Private room",2,4,1,120
"Entire home/apt",77,4.5,2,120
"Entire home/apt",7,4.5,1,120
"Entire home/apt",2,5,1,120
"Private room",1,5,1,120
"Entire home/apt",3,3.5,1,125
"Entire home/apt",4,4.5,0,125
"Entire home/apt",1,0,1,125
"Entire home/apt",0,0,1,125
"Entire home/apt",2,3,0,129
"Entire home/apt",2,4.5,0,130
"Entire home/apt",2,5,1,130
"Entire home/apt",1,4,1,135
"Entire home/apt",16,4.5,2,135
"Entire home/apt",0,0,2,135
"Entire home/apt",19,4,0,138
"Entire home/apt",21,4.5,1,140
"Entire home/apt",2,5,1,140
"Entire home/apt",1,5,1,140
"Entire home/apt",0,0,1,140
"Entire home/apt",4,5,0,149
"Entire home/apt",1,5,2,149
"Private room",0,0,1,149
"Entire home/apt",1,4,2,150
"Entire home/apt",10,4.5,1,150
"Entire home/apt",8,4.5,1,150
"Entire home/apt",7,4.5,1,150
"Entire home/apt",2,5,0,150
"Private room",2,5,1,150
"Entire home/apt",0,0,1,150
"Entire home/apt",0,0,3,150
"Entire home/apt",0,0,1,160
"Private room",0,0,1,160
"Entire home/apt",7,4.5,1,165
"Entire home/apt",4,5,0,165
"Entire home/apt",1,0,1,165
"Entire home/apt",3,4,1,175
"Entire home/apt",5,4.5,2,175
"Entire home/apt",7,5,1,175
"Private room",3,4.5,1,178
"Entire home/apt",4,4.5,1,180
"Entire home/apt",3,4.5,0,180
"Entire home/apt",1,5,1,189
"Shared room",0,0,1,199
"Entire home/apt",4,3.5,0,200
"Entire home/apt",38,4.5,5,200
"Entire home/apt",14,4.5,2,200
"Entire home/apt",6,5,4,200
"Private room",0,0,1,200
"Entire home/apt",23,4.5,2,220
"Entire home/apt",0,0,2,225
"Entire home/apt",0,0,1,225
"Entire home/apt",3,2.5,2,249
"Entire home/apt",42,4.5,2,250
"Entire home/apt",3,4.5,2,250
"Entire home/apt",0,0,1,250
"Entire home/apt",0,0,2,250
"Entire home/apt",14,5,3,265
"Entire home/apt",1,3,0,269
"Entire home/apt",32,4.5,3,275
"Entire home/apt",9,5,2,290
"Entire home/apt",6,4.5,3,318
"Entire home/apt",13,5,3,350
"Entire home/apt",10,4.5,3,363
"Entire home/apt",5,4.5,2,365
"Entire home/apt",1,4,3,400
"Entire home/apt",4,4.5,5,400
"Entire home/apt",2,4.5,4,550
"Entire home/apt",0,0,4,550
"Private room",67,4.5,1,55
